content_id,format_id,format_name,hypothesis,platform,title,description,duration,created_at,views_count,likes_count,comments_count,shares_count,save_count,views_to_follower_ratio,is_10x_content,creator_id,creator_name,creator_followers,video_url,media_url,thumbnail_url,view_tier,search_strategy,human_verified_status
7574164297710947604,pov-life-after-exams,Pov: Life after exams,"A classic POV meme format that pairs a highly relatable situation with a video clip that perfectly captures the corresponding emotion. Its virality comes from the 'it's so true' moment of recognition. It's infinitely replicable for any shared human experience.

Pattern: {""text_overlay_pattern"": ""'Pov: [Relatable situation]'"", ""voice_over_pattern"": ""Typically no voice-over, but uses a trending song that matches the mood of the video clip (e.g., high-energy, celebratory)."", ""visual_pattern"": ""A pre-existing, often funny or chaotic video clip is used to represent the feeling described in the text.""}

Confidence: high",tiktok,Life after exams 💕#exams#fyp#viral#dance#happy,Life after exams 💕#exams#fyp#viral#dance#happy,22,2025-11-18T20:25:59+00:00,806792,95814,1780,22221,10098,1.0,False,manozeditz0,mano,1017,https://www.tiktok.com/@manozeditz0/video/7574164297710947604,https://storage.googleapis.com/vizzylabs-source/media/7574164297710947604.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7574164297710947604.jpg,100K-1M,original,correct
7507951908066233622,pov-life-after-exams,Pov: Life after exams,"A classic POV meme format that pairs a highly relatable situation with a video clip that perfectly captures the corresponding emotion. Its virality comes from the 'it's so true' moment of recognition. It's infinitely replicable for any shared human experience.

Pattern: {""text_overlay_pattern"": ""'Pov: [Relatable situation]'"", ""voice_over_pattern"": ""Typically no voice-over, but uses a trending song that matches the mood of the video clip (e.g., high-energy, celebratory)."", ""visual_pattern"": ""A pre-existing, often funny or chaotic video clip is used to represent the feeling described in the text.""}

Confidence: high",tiktok,Real #gym #GymTok #davidlaid #davidlaid_motivation #ogdavidlaid #davidlaidedit #olddavidlaid #2016 #Summer ,Real #gym #GymTok #davidlaid #davidlaid_motivation #ogdavidlaid #davidlaidedit #olddavidlaid #2016 #Summer ,18,2025-05-24T18:07:58+00:00,1192527,159278,594,25943,0,60.69,True,ogdavidlaid,DavidLaid,19651,https://www.tiktok.com/@ogdavidlaid/video/7507951908066233622,https://storage.googleapis.com/vizzylabs-source/media/7507951908066233622.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7507951908066233622.jpg,1M+,diversified,correct
7574390318238403861,pov-life-after-exams,Pov: Life after exams,"A classic POV meme format that pairs a highly relatable situation with a video clip that perfectly captures the corresponding emotion. Its virality comes from the 'it's so true' moment of recognition. It's infinitely replicable for any shared human experience.

Pattern: {""text_overlay_pattern"": ""'Pov: [Relatable situation]'"", ""voice_over_pattern"": ""Typically no voice-over, but uses a trending song that matches the mood of the video clip (e.g., high-energy, celebratory)."", ""visual_pattern"": ""A pre-existing, often funny or chaotic video clip is used to represent the feeling described in the text.""}

Confidence: high",tiktok,Life after exams 💕#exams#fyp#viral#dance#happy,Life after exams 💕#exams#fyp#viral#dance#happy,22,2025-11-19T19:02:58+00:00,583,53,3,6,0,6.63,False,noticeme91,CORTEX✝️,88,https://www.tiktok.com/@noticeme91/video/7574390318238403861,https://storage.googleapis.com/vizzylabs-source/media/7574390318238403861.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7574390318238403861.jpg,100-1K,diversified,correct
7574091309221252370,pov-life-after-exams,Pov: Life after exams,"A classic POV meme format that pairs a highly relatable situation with a video clip that perfectly captures the corresponding emotion. Its virality comes from the 'it's so true' moment of recognition. It's infinitely replicable for any shared human experience.

Pattern: {""text_overlay_pattern"": ""'Pov: [Relatable situation]'"", ""voice_over_pattern"": ""Typically no voice-over, but uses a trending song that matches the mood of the video clip (e.g., high-energy, celebratory)."", ""visual_pattern"": ""A pre-existing, often funny or chaotic video clip is used to represent the feeling described in the text.""}

Confidence: high",tiktok,Accounting traumatised me 😭💔#viral #kingmihlali #exam #creatorsearchinsight #funny ,Accounting traumatised me 😭💔#viral #kingmihlali #exam #creatorsearchinsight #funny ,9,2025-11-18T23:42:39+00:00,367900,53632,454,6172,0,17.09,True,kingmihlali_01,Mihlali Billy,21532,https://www.tiktok.com/@kingmihlali_01/video/7574091309221252370,https://storage.googleapis.com/vizzylabs-source/media/7574091309221252370.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7574091309221252370.jpg,100K-1M,diversified,correct
7574124589177965826,imperative-that-you-skip,imperative that you skip,"A 'sage advice' format that gives counter-intuitive but highly relatable recommendations for navigating life stages. The serious tone ('it is imperative') contrasts with the rebellious advice (skipping a lecture), making it humorous and validating a universal experience.

Pattern: {""text_overlay_pattern"": ""'In your [life stage] there will be a [common challenge]. It is imperative that you [do the relatable, rebellious action].'"", ""voice_over_pattern"": ""Typically uses an unrelated, aesthetic or trending sound."", ""visual_pattern"": ""The text is overlaid on a scenic, aesthetic, or mundane video (e.g., city view, nature, commute).""}

Confidence: high",tiktok,or so I was told idk #20s #inyour20s #uni,or so I was told idk #20s #inyour20s #uni,7,2025-11-19T01:51:47+00:00,200701,35837,68,4769,845,138.61,True,xxx.panayiotis,panayiotis,1448,https://www.tiktok.com/@xxx.panayiotis/video/7574124589177965826,https://storage.googleapis.com/vizzylabs-source/media/7574124589177965826.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7574124589177965826.jpg,100K-1M,original,correct
7563864430123945271,imperative-that-you-skip,imperative that you skip,"A 'sage advice' format that gives counter-intuitive but highly relatable recommendations for navigating life stages. The serious tone ('it is imperative') contrasts with the rebellious advice (skipping a lecture), making it humorous and validating a universal experience.

Pattern: {""text_overlay_pattern"": ""'In your [life stage] there will be a [common challenge]. It is imperative that you [do the relatable, rebellious action].'"", ""voice_over_pattern"": ""Typically uses an unrelated, aesthetic or trending sound."", ""visual_pattern"": ""The text is overlaid on a scenic, aesthetic, or mundane video (e.g., city view, nature, commute).""}

Confidence: high",tiktok,Best decision I ever made. ,Best decision I ever made. ,6,2025-10-22T10:17:23+00:00,3201422,586052,3173,24648,0,1710.16,True,sellwithsamantha,sellingsouthflwithsam,1872,https://www.tiktok.com/@sellwithsamantha/video/7563864430123945271,https://storage.googleapis.com/vizzylabs-source/media/7563864430123945271.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7563864430123945271.jpg,1M+,diversified,correct
7568413972911705351,imperative-that-you-skip,imperative that you skip,"A 'sage advice' format that gives counter-intuitive but highly relatable recommendations for navigating life stages. The serious tone ('it is imperative') contrasts with the rebellious advice (skipping a lecture), making it humorous and validating a universal experience.

Pattern: {""text_overlay_pattern"": ""'In your [life stage] there will be a [common challenge]. It is imperative that you [do the relatable, rebellious action].'"", ""voice_over_pattern"": ""Typically uses an unrelated, aesthetic or trending sound."", ""visual_pattern"": ""The text is overlaid on a scenic, aesthetic, or mundane video (e.g., city view, nature, commute).""}

Confidence: high",tiktok,a sign you need,a sign you need,14,2025-11-03T16:31:41+00:00,2881763,646794,1694,29592,0,8.52,False,julianruss.17,Virtual Kuya🧣,338318,https://www.tiktok.com/@julianruss.17/video/7568413972911705351,https://storage.googleapis.com/vizzylabs-source/media/7568413972911705351.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7568413972911705351.jpg,1M+,diversified,correct
7572763613853764919,imperative-that-you-skip,imperative that you skip,"A 'sage advice' format that gives counter-intuitive but highly relatable recommendations for navigating life stages. The serious tone ('it is imperative') contrasts with the rebellious advice (skipping a lecture), making it humorous and validating a universal experience.

Pattern: {""text_overlay_pattern"": ""'In your [life stage] there will be a [common challenge]. It is imperative that you [do the relatable, rebellious action].'"", ""voice_over_pattern"": ""Typically uses an unrelated, aesthetic or trending sound."", ""visual_pattern"": ""The text is overlaid on a scenic, aesthetic, or mundane video (e.g., city view, nature, commute).""}

Confidence: high",tiktok,#inyour20s #fyp #relatable,#inyour20s #fyp #relatable,5,2025-11-15T09:50:40+00:00,2207505,573701,752,64774,0,1373.68,True,ebeatrice1,esther gleeman,1607,https://www.tiktok.com/@ebeatrice1/video/7572763613853764919,https://storage.googleapis.com/vizzylabs-source/media/7572763613853764919.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7572763613853764919.jpg,1M+,diversified,correct
7571810445514837279,imperative-that-you-skip,imperative that you skip,"A 'sage advice' format that gives counter-intuitive but highly relatable recommendations for navigating life stages. The serious tone ('it is imperative') contrasts with the rebellious advice (skipping a lecture), making it humorous and validating a universal experience.

Pattern: {""text_overlay_pattern"": ""'In your [life stage] there will be a [common challenge]. It is imperative that you [do the relatable, rebellious action].'"", ""voice_over_pattern"": ""Typically uses an unrelated, aesthetic or trending sound."", ""visual_pattern"": ""The text is overlaid on a scenic, aesthetic, or mundane video (e.g., city view, nature, commute).""}

Confidence: high",tiktok,so grateful for this job but onto the next chapter 🥹🫶🏻  #postgrad #corporate #job #quitting #fyp,so grateful for this job but onto the next chapter 🥹🫶🏻  #postgrad #corporate #job #quitting #fyp,10,2025-11-12T20:11:54+00:00,79067,5892,18,132,0,6.49,False,valeentinasc,val s,12175,https://www.tiktok.com/@valeentinasc/video/7571810445514837279,https://storage.googleapis.com/vizzylabs-source/media/7571810445514837279.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7571810445514837279.jpg,10K-100K,diversified,correct
7572371614902291742,imperative-that-you-skip,imperative that you skip,"A 'sage advice' format that gives counter-intuitive but highly relatable recommendations for navigating life stages. The serious tone ('it is imperative') contrasts with the rebellious advice (skipping a lecture), making it humorous and validating a universal experience.

Pattern: {""text_overlay_pattern"": ""'In your [life stage] there will be a [common challenge]. It is imperative that you [do the relatable, rebellious action].'"", ""voice_over_pattern"": ""Typically uses an unrelated, aesthetic or trending sound."", ""visual_pattern"": ""The text is overlaid on a scenic, aesthetic, or mundane video (e.g., city view, nature, commute).""}

Confidence: high",tiktok,#medicine #healthcare #residency #womeninmedicine #premed ,#medicine #healthcare #residency #womeninmedicine #premed ,8,2025-11-14T08:29:37+00:00,195245,47221,230,1304,0,14.36,True,mariahanesthesiamd,"Mariah, MD",13592,https://www.tiktok.com/@mariahanesthesiamd/video/7572371614902291742,https://storage.googleapis.com/vizzylabs-source/media/7572371614902291742.mp4,https://storage.googleapis.com/vizzylabs-source/thumbnails/7572371614902291742.jpg,100K-1M,diversified,correct
